"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
496519;2023-01-01;"domingo";"02:00:00";"ES";101;114;"SOORETAMA";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-19,09484877;-40,05095848;"SPRF-ES";"DEL04-ES";"UOP01-DEL04-ES"
496543;2023-01-01;"domingo";"03:40:00";"SP";116;113,1;"TAUBATE";"Entrada inopinada do pedestre";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";5;1;0;0;0;4;0;2;-23,0445658;-45,58259814;"SPRF-SP";"DEL02-SP";"UOP02-DEL02-SP"
496590;2023-01-01;"domingo";"01:40:00";"MT";163;1112;"GUARANTA DO NORTE";"Reação tardia ou ineficiente do condutor";"Tombamento";NA;"Plena Noite";"Crescente";"Ignorado";"Simples";"Curva;Declive";"Não";2;0;0;1;0;2;1;3;-9,70020602;-54,87588757;"SPRF-MT";"DEL06-MT";"UOP03-DEL06-MT"
496610;2023-01-01;"domingo";"10:40:00";"PR";376;314,8;"ORTIGUEIRA";"Velocidade Incompatível";"Tombamento";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Dupla";"Curva";"Não";2;0;0;0;1;2;0;3;-23,985512;-51,083555;"SPRF-PR";"DEL07-PR";"UOP02-DEL07-PR"
496659;2023-01-01;"domingo";"14:55:00";"MG";116;569,4;"MANHUACU";"Acumulo de água sobre o pavimento";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Declive;Curva";"Não";4;0;0;2;1;1;2;3;-20,10007457;-42,17884091;"SPRF-MG";"DEL06-MG";"UOP03-DEL06-MG"
496671;2023-01-01;"domingo";"15:45:00";"MG";262;569,8;"CORREGO DANTA";"Condutor Dormindo";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Reta;Aclive";"Sim";2;0;0;0;1;1;0;2;-19,716043;-46,021922;"SPRF-MG";"DEL08-MG";"UOP02-DEL08-MG"
496673;2023-01-01;"domingo";"18:10:00";"PR";116;152;"MANDIRITUBA";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Interseção de Vias";"Sim";5;0;1;0;3;1;1;4;-25,862553;-49,362008;"SPRF-PR";"DEL01-PR";"UOP03-DEL01-PR"
496686;2023-01-01;"domingo";"20:00:00";"MG";381;897,3;"CAMBUI";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Plena Noite";"Crescente";"Ignorado";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-22,63961103;-46,08077997;"SPRF-MG";"DEL16-MG";"UOP03-DEL16-MG"
496709;2023-01-01;"domingo";"21:54:00";"SP";116;105,5;"TAUBATE";"Transitar na contramão";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";5;0;2;0;1;2;2;4;-23,00757973;-45,51466613;"SPRF-SP";"DEL02-SP";"UOP02-DEL02-SP"
496711;2023-01-01;"domingo";"21:50:00";"BA";116;366;"SERRINHA";"Velocidade Incompatível";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-11,72514;-38,98642914;"SPRF-BA";"DEL02-BA";"UOP01-DEL02-BA"
496712;2023-01-01;"domingo";"19:30:00";"MG";381;365;"SAO GONCALO DO RIO ABAIXO";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Aclive;Curva";"Não";1;0;0;0;1;0;0;1;-19,85428822;-43,22658777;"SPRF-MG";"DEL03-MG";"UOP01-DEL03-MG"
496731;2023-01-01;"domingo";"22:20:00";"RJ";465;18;"NOVA IGUACU";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";4;0;0;1;1;2;1;4;-22,831354;-43,615128;"SPRF-RJ";"DEL03-RJ";"UOP01-DEL03-RJ"
496764;2023-01-02;"segunda-feira";"07:45:00";"RS";392;680;"SAO PEDRO DO BUTIA";"Entrada inopinada do pedestre";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";3;1;0;0;1;1;0;3;-28,12855781;-54,90058898;"SPRF-RS";"DEL10-RS";"UOP01-DEL10-RS"
496772;2023-01-02;"segunda-feira";"07:23:00";"SC";101;134;"BALNEARIO CAMBORIU";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Múltipla";"Reta";"Não";2;0;1;0;1;0;1;2;-27,00218;-48,636433;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
496780;2023-01-02;"segunda-feira";"09:00:00";"PI";316;7,7;"TERESINA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Múltipla";"Reta";"Sim";3;0;2;0;1;0;2;2;-5,15584638;-42,77173332;"SPRF-PI";"DEL01-PI";"UOP02-DEL01-PI"
496782;2023-01-02;"segunda-feira";"09:45:00";"GO";50;307,6;"CUMARI";"Acessar a via sem observar a presença dos outros veículos";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Não";3;0;1;0;1;1;1;3;-18,3769;-48,0609;"SPRF-GO";"DEL06-GO";"UOP01-DEL06-GO"
496787;2023-01-02;"segunda-feira";"10:15:00";"PE";101;68;"RECIFE";"Ausência de reação do condutor";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Viaduto";"Sim";6;0;2;0;3;1;2;4;-8,05074296;-34,94580619;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
496789;2023-01-02;"segunda-feira";"10:20:00";"ES";101;329,8;"GUARAPARI";"Manobra de mudança de faixa";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Retorno Regulamentado";"Não";2;0;1;0;1;0;1;2;-20,5929953;-40,50133975;"SPRF-ES";"DEL03-ES";"UOP01-DEL03-ES"
496795;2023-01-02;"segunda-feira";"08:25:00";"MG";365;376;"PATOS DE MINAS";"Reação tardia ou ineficiente do condutor";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Aclive;Reta";"Não";3;0;1;0;1;3;1;5;-18,54013425;-46,18821401;"SPRF-MG";"DEL10-MG";"UOP01-DEL10-MG"
496804;2023-01-02;"segunda-feira";"12:05:00";"RS";290;127,6;"ELDORADO DO SUL";"Avarias e/ou desgaste excessivo no pneu";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;0;1;1;2;-30,056417;-51,479671;"SPRF-RS";"DEL02-RS";"UOP01-DEL02-RS"
496807;2023-01-02;"segunda-feira";"09:00:00";"MG";365;653;"MONTE ALEGRE DE MINAS";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Viaduto;Interseção de Vias;Curva";"Não";2;0;1;0;0;1;1;2;-18,86439215;-48,5887742;"SPRF-MG";"DEL15-MG";"UOP01-DEL15-MG"
496811;2023-01-02;"segunda-feira";"12:15:00";"MG";381;370;"SAO GONCALO DO RIO ABAIXO";"Demais falhas mecânicas ou elétricas";"Derramamento de carga";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Curva;Declive";"Não";2;0;1;0;0;1;1;2;-19,84250801;-43,31533375;"SPRF-MG";"DEL01-MG";"UOP01-DEL01-MG"
496817;2023-01-02;"segunda-feira";"12:55:00";"GO";50;233;"CATALAO";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Aclive";"Não";3;0;1;0;1;1;1;3;-17,8272;-47,7732;"SPRF-GO";"DEL06-GO";"UOP01-DEL06-GO"
496818;2023-01-02;"segunda-feira";"13:00:00";"MG";381;333;"NOVA ERA";"Reação tardia ou ineficiente do condutor";"Colisão lateral sentido oposto";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Garoa/Chuvisco";"Simples";"Curva;Declive";"Não";3;1;0;0;1;2;0;4;-19,80205311;-43,05435026;"SPRF-MG";"DEL03-MG";"UOP01-DEL03-MG"
496827;2023-01-02;"segunda-feira";"13:24:00";"PE";101;57;"PAULISTA";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Curva";"Não";3;0;1;0;1;1;1;2;-7,96346213;-34,91513486;"SPRF-PE";"DEL01-PE";"UOP02-DEL01-PE"
